partition_duration,partition_seconds,scheme,ops_attempted,ops_allowed,availability_pct,post_revocation_ops_allowed,post_revocation_impact_score,degraded_or_exhausted
1_minute,60.0,bearer_token,13,13,100.0,7,5.2,
1_minute,60.0,short_lived_jwt,13,13,100.0,7,5.2,
1_minute,60.0,online_introspection,13,0,0.0,0,0.0,
1_minute,60.0,self_contained_pop_token,13,13,100.0,7,5.2,
1_minute,60.0,time_only_lease,13,13,100.0,7,5.2,
1_minute,60.0,epoch_revocable_token,13,13,100.0,7,5.2,
1_minute,60.0,heartbeat_dependent_credential,13,13,100.0,7,5.2,
1_minute,60.0,leaseguard,13,13,100.0,7,5.2,
10_minutes,600.0,bearer_token,121,121,100.0,115,14060.9,
10_minutes,600.0,short_lived_jwt,121,61,50.41,55,6026.1,
10_minutes,600.0,online_introspection,121,0,0.0,0,0.0,
10_minutes,600.0,self_contained_pop_token,121,121,100.0,115,14060.9,
10_minutes,600.0,time_only_lease,121,121,100.0,115,14060.9,
10_minutes,600.0,epoch_revocable_token,121,121,100.0,115,14060.9,
10_minutes,600.0,heartbeat_dependent_credential,121,13,10.74,7,5.2,
10_minutes,600.0,leaseguard,121,112,92.56,106,5060.9,
1_hour,3600.0,bearer_token,721,721,100.0,715,84365.4,
1_hour,3600.0,short_lived_jwt,721,61,8.46,55,6026.1,
1_hour,3600.0,online_introspection,721,0,0.0,0,0.0,
1_hour,3600.0,self_contained_pop_token,721,721,100.0,715,84365.4,
1_hour,3600.0,time_only_lease,721,721,100.0,715,84365.4,
1_hour,3600.0,epoch_revocable_token,721,721,100.0,715,84365.4,
1_hour,3600.0,heartbeat_dependent_credential,721,13,1.8,7,5.2,
1_hour,3600.0,leaseguard,721,642,89.04,636,5365.4,
24_hours,86400.0,bearer_token,17281,17281,100.0,17275,2040839.2,
24_hours,86400.0,short_lived_jwt,17281,61,0.35,55,6026.1,
24_hours,86400.0,online_introspection,17281,0,0.0,0,0.0,
24_hours,86400.0,self_contained_pop_token,17281,17281,100.0,17275,2040839.2,
24_hours,86400.0,time_only_lease,17281,17281,100.0,17275,2040839.2,
24_hours,86400.0,epoch_revocable_token,17281,721,4.17,715,84365.4,
24_hours,86400.0,heartbeat_dependent_credential,17281,13,0.08,7,5.2,
24_hours,86400.0,leaseguard,17281,10403,60.2,10397,5397.7,budget dimension 'financial_impact_usd' exhausted; entering safe-degradation
